,symbol,time,open,high,low,close,volume
0,GOOG,2020-03-27,1125.67,1150.67,1105.91,1110.71,3208495
0,GOOG,2020-03-26,1111.8,1169.97,1093.53,1161.75,3573755
0,GOOG,2020-03-25,1126.47,1148.9,1086.01,1102.49,4081528
0,GOOG,2020-03-24,1103.77,1135.0,1090.62,1134.46,3344450
0,GOOG,2020-03-23,1061.32,1071.32,1013.54,1056.62,4044137
0,GOOG,2020-03-20,1135.72,1143.99,1065.49,1072.32,3601750
0,GOOG,2020-03-19,1093.05,1157.97,1060.11,1115.29,3651106
0,GOOG,2020-03-18,1056.51,1106.5,1037.28,1096.8,4233435
0,GOOG,2020-03-17,1093.11,1130.86,1056.01,1119.8,3861489
0,GOOG,2020-03-16,1096.0,1152.27,1074.44,1084.33,4252365
0,GOOG,2020-03-13,1179.0,1219.76,1117.14,1219.73,3700125
0,GOOG,2020-03-12,1126.0,1193.87,1113.3,1114.91,4226748
0,GOOG,2020-03-11,1249.7,1260.96,1196.07,1215.41,2611229
0,GOOG,2020-03-10,1260.0,1281.15,1218.77,1280.39,2611373
0,GOOG,2020-03-09,1205.3,1254.76,1200.0,1215.56,3365365
0,GOOG,2020-03-06,1277.06,1306.22,1261.05,1298.41,2660628
0,GOOG,2020-03-05,1350.2,1358.91,1305.1,1319.04,2561288
0,GOOG,2020-03-04,1359.23,1388.09,1343.11,1386.52,1913315
0,GOOG,2020-03-03,1399.42,1410.15,1332.0,1341.39,2402326
0,GOOG,2020-03-02,1351.61,1390.87,1326.82,1389.11,2431468
0,GOOG,2020-02-28,1277.5,1341.14,1271.0,1339.33,3790618
0,GOOG,2020-02-27,1362.06,1371.7,1317.17,1318.09,2978300
0,GOOG,2020-02-26,1396.14,1415.7,1379.0,1393.18,2204037
0,GOOG,2020-02-25,1433.0,1438.14,1382.4,1388.45,2478278
0,GOOG,2020-02-24,1426.11,1436.97,1411.39,1421.59,2867053
0,GOOG,2020-02-21,1508.03,1512.21,1480.44,1485.11,1732273
0,GOOG,2020-02-20,1522.0,1529.64,1506.82,1518.15,1096552
0,GOOG,2020-02-19,1525.07,1532.11,1521.4,1526.69,949268
0,GOOG,2020-02-18,1515.0,1531.63,1512.59,1519.67,1121140
0,GOOG,2020-02-14,1515.6,1520.74,1507.34,1520.74,1197836
0,GOOG,2020-02-13,1512.69,1527.18,1504.6,1514.66,929730
0,GOOG,2020-02-12,1514.48,1520.69,1508.11,1518.27,1167565
0,GOOG,2020-02-11,1511.81,1529.63,1505.64,1508.79,1344633
0,GOOG,2020-02-10,1474.32,1509.5,1474.32,1508.68,1419876
0,GOOG,2020-02-07,1467.3,1485.84,1466.35,1479.23,1172270
0,GOOG,2020-02-06,1450.33,1482.0,1449.57,1476.23,1679384
0,GOOG,2020-02-05,1462.42,1463.84,1430.56,1448.23,1986157
0,GOOG,2020-02-04,1457.07,1469.5,1426.3,1447.07,3932954
0,GOOG,2020-02-03,1462.0,1490.0,1458.99,1485.94,3055216
0,GOOG,2020-01-31,1468.9,1470.13,1428.53,1434.23,2417214
0,GOOG,2020-01-30,1439.96,1457.28,1436.4,1455.84,1339421
0,GOOG,2020-01-29,1458.8,1465.43,1446.74,1458.63,1078667
0,GOOG,2020-01-28,1443.0,1456.0,1432.47,1452.56,1577422
0,GOOG,2020-01-27,1431.0,1438.07,1421.2,1433.9,1755201
0,GOOG,2020-01-24,1493.59,1495.49,1465.25,1466.71,1784644
0,GOOG,2020-01-23,1487.64,1495.52,1482.1,1486.65,1351354
0,GOOG,2020-01-22,1491.0,1503.21,1484.93,1485.95,1610846
0,GOOG,2020-01-21,1479.12,1491.85,1471.2,1484.4,2008830
0,GOOG,2020-01-17,1462.91,1481.3,1458.22,1480.39,2396215
0,GOOG,2020-01-16,1447.44,1451.99,1440.92,1451.7,1173688
0,GOOG,2020-01-15,1430.21,1441.39,1430.21,1439.2,1282685
0,GOOG,2020-01-14,1439.01,1441.8,1428.37,1430.88,1560453
0,GOOG,2020-01-13,1436.13,1440.52,1426.02,1439.23,1378286
0,GOOG,2020-01-10,1427.56,1434.93,1418.35,1429.73,1821566
0,GOOG,2020-01-09,1420.57,1427.33,1410.27,1419.83,1502664
0,GOOG,2020-01-08,1392.08,1411.58,1390.84,1404.32,1529177
0,GOOG,2020-01-07,1397.94,1402.99,1390.38,1393.34,1511693
0,GOOG,2020-01-06,1350.0,1396.5,1350.0,1394.21,1733149
0,GOOG,2020-01-03,1347.86,1372.5,1345.54,1360.66,1187006
0,GOOG,2020-01-02,1341.55,1368.14,1341.55,1367.37,1406731
0,GOOG,2019-12-31,1330.11,1338.0,1329.09,1337.02,962468
0,GOOG,2019-12-30,1350.0,1353.0,1334.02,1336.14,1051323
0,GOOG,2019-12-27,1362.99,1364.53,1349.31,1351.89,1038718
0,GOOG,2019-12-26,1346.17,1361.33,1344.47,1360.4,667754
0,GOOG,2019-12-24,1348.5,1350.26,1342.78,1343.56,347518
0,GOOG,2019-12-23,1355.87,1359.8,1346.51,1348.84,883200
0,GOOG,2019-12-20,1363.35,1363.64,1349.0,1349.59,3316905
0,GOOG,2019-12-19,1351.82,1358.1,1348.98,1356.04,1470112
